Name,State/Region,Quantity (g),Calories (kcal),Protein (g),Carbs (g),Fat (g),Veg/Non-Veg,Meal Type,Ingredients
Mixed Dal + Rice + Ghee + Pickle,Uttar Pradesh,320g (1 medium bowl + 1 large plate + 1 tsp + 1 tbsp),525,17,88,14,Veg,Lunch/Dinner,"Mixed lentils, basmati rice, turmeric, cumin, ghee, pickle"
Matar Paneer + Pulao + Papad,Uttar Pradesh,330g (1 medium bowl + 1 large plate + 2 pieces),515,19,71,19,Veg,Lunch/Dinner,"Green peas, paneer, onions, tomatoes, rice, whole spices, papad"
Litti Chokha + Ghee,Uttar Pradesh,200g (4 pieces + 1 medium bowl + 1 tbsp),365,10,50,16,Veg,Lunch/Dinner,"Wheat flour, sattu, eggplant, tomatoes, onions, ghee"
Paneer Makhani + Roti + Salad,Uttar Pradesh,1 bowl (200g)+ 3 rotis + 1 plate,560,22,48,33,Veg,Lunch/Dinner,"Paneer, tomatoes, butter, cream, cashews, whole wheat flour, yogurt, cucumber, onions"
Vegetable Pasta Salad + Lemon Dressing,Universal,1 bowl (180g),285,8,52,6,Vegetarian,Lunch/Snack,"Whole wheat pasta, mixed vegetables, lemon juice, olive oil, herbs"
Chicken Roll + Mint Chutney,Universal,1 roll + chutney (180g),385,22,42,15,Non-Vegetarian,Lunch/Snack,"Chicken, whole wheat wrap, mint chutney, onion"
Mixed Sprout Salad + Lemon Dressing,Universal,1 large bowl (200g),180,12,25,4,Vegetarian,Lunch/Snack,"Moong sprouts, chana sprouts, cucumber, tomato, onion, lemon, mint, chaat masala"
Chana Sprout Salad + Yogurt Dressing,Universal,1 bowl (180g),195,12,28,5,Vegetarian,Lunch/Snack,"Chana sprouts, cucumber, carrot, yogurt, mint, black pepper"
Soybean Sprout Salad + Lemon,Universal,1 large bowl (180g),220,15,25,8,Vegetarian,Lunch/Snack,"Soybean sprouts, cucumber, tomato, onion, lemon, chaat masala, coriander"
Kosambari,Karnataka,1 cup (100g),80,3,12,3,Vegetarian,Side Dish,"Cucumber, green gram sprouts, coconut, mustard seeds, curry leaves"
Chekkalu,Andhra Pradesh,10 pieces (50g),160,3,20,7,Vegetarian,Snack,"Rice flour, chana dal, cumin, sesame seeds, oil"
Punugulu,Andhra Pradesh,6 pieces (100g),250,6,30,10,Vegetarian,Snack,"Fermented rice/urad dal batter, oil, spices"
Mysuru Bonda,Karnataka,2 pieces (50g),140,4,20,6,Vegetarian,Snack,"Urad dal, rice flour, ginger, green chili, curry leaves, oil"
Banana Fritters,Kerala,2 pieces (50g),130,1,20,5,Vegetarian,Snack,"Ripe bananas, flour, sugar, coconut oil"
Uzhunnu Vada,Kerala,1 piece (30g),90,3,10,4,Vegetarian,Snack,"Urad dal, black pepper, ginger, curry leaves, oil"
Murukku,Tamil Nadu,5 pieces (25g),80,1,10,4,Vegetarian,Snack,
Bread Butter Jam,Universal,2 slices + spreads (80g),250,5,45,6,Vegetarian,Snack,"White bread, butter, fruit jam 7"
Boiled Eggs + Salt-Pepper,Universal,2 eggs + seasoning,150,12,1,10,Eggetarian,Snack,"Eggs, salt, black pepper"
Moong Sprout Chaat + Green Chutney,Universal,1 bowl (150g),165,10,22,4,Vegetarian,Snack,"Moong sprouts, onion, tomato, green chutney, lemon, coriander"
Pav Bhaji + Pav + Onions,Delhi,1 medium bowl + 2 pav + 1 small bowl,485,12,68,18,Veg,Snacks,"Mixed vegetables, pav bread, butter, onions, tomatoes, spices"
Dabeli + Chutney,Delhi,120g (2 pieces ),285,6,48,8,Veg,Snacks,"Pav bread, potatoes, chutneys, pomegranate, sev, peanuts"
Baked Mathri + Dahi,Haryana,40g (2-3 pieces),110,3.5,16,4,Veg,Snacks,"Wheat flour, cumin, carom seeds, yogurt"
Fruit Chaat ,Himachal Pradesh,150g (1 medium bowl),125,2,28,1,Veg,Snacks,"Mixed fruits, chaat masala, lemon juice, black salt"
Chana Chaat + Onions,Himachal Pradesh,100g (1 small bowl),185,8,28,6,Veg,Snacks,"Chickpeas, onions, tomatoes, chutneys, chaat masala, coriander"
Khakhra + Pickle,Himachal Pradesh,50g (3-4 pieces + 1 tbsp),185,5,28,6,Veg,Snacks,"Wheat flour, oil, spices, pickle"
Paneer Tikka + Chutney,Punjab,140g (6 pieces + 2 tbsp),285,17,10,20,Veg,Snacks,"Paneer, yogurt, ginger-garlic paste, bell peppers, onions, spices, mint chutney"
Chana Chaat + Onions,Punjab,100g (1 small bowl),185,8,28,6,Veg,Snacks,"Chickpeas, onions, tomatoes, chutneys, chaat masala, coriander"
Dahi Bhalla + Chutney,Punjab,100g (2 pieces),185,6,25,8,Veg,Snacks,"Urad dal, yogurt, tamarind chutney, mint chutney, chaat masala"
Churma Laddu + Ghee,Rajasthan,2 pieces + 1 tspp,365,6,48,16,Veg,Snacks,"Wheat flour, jaggery, ghee, cardamom, almonds"
Manchurian Dry + Fried Rice,Delhi,1 small bowl + 1 medium plate,385,8,58,12,Veg,Snacks/Lunch,"Cauliflower/cabbage, cornflour, soy sauce, rice, vegetables, garlic"
Chicken Manchurian + Fried Rice,Delhi,1 small bowl + 1 medium plate,445,18,54,16,Non-Veg,Snacks/Lunch,"Chicken, cornflour, soy sauce, rice, vegetables, garlic, ginger"
Chili Chicken + Fried Rice,Delhi,1 small bowl + 1 medium plate,425,16,52,16,Non-Veg,Snacks/Lunch,"Chicken, cornflour, chili sauce, rice, vegetables, soy sauce"
